No.,Lab No.,เลขที่รับ,Report No.,Received Date,Analysis Date,Report Date,Sample Code,Sample Name,Supplier,"Production Date
 / Lot",หน่วยงาน,Cost Center,"Sample 
Condition",Result,,,,,,หมายเหตุ,,
,,,,,,,,,,,,,,"Organo
phosphate",Carbamate,"Organo
chlorine",Pyrethroid,"Chloram
phenicol",Nitrofuran,,,
26,C.026/01,C.260103/01,260103/11,2/1/2026,3/1/2026,3-ม.ค.-26,71012017,ผักชีฝรั่ง,ทวีทรัพย์,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
27,C.027/01,C.260103/01,260103/12,2/1/2026,3/1/2026,3-ม.ค.-26,71000277,สลัดคอส,สิริกรีน,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
28,C.028/01,C.260103/02,260103/13,2/1/2026,3/1/2026,3-ม.ค.-26,71000290,กรีนโอ๊ค,สิริกรีน,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
29,C.029/01,C.260103/02,260103/14,2/1/2026,3/1/2026,3-ม.ค.-26,71000296,ฟิลเลย์,สิริกรีน,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
30,C.030/01,C.260103/02,260103/15,2/1/2026,3/1/2026,3-ม.ค.-26,71000295,ใบกะเพราป่า,สมคิด,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
31,C.031/01,C.260103/02,260103/16,2/1/2026,3/1/2026,3-ม.ค.-26,71000295,ใบกะเพราป่า,อาคม,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
32,C.032/01,C.260103/02,260103/17,2/1/2026,3/1/2026,3-ม.ค.-26,71000295,ใบกะเพราป่า,กนกธร,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
33,C.033/01,C.260103/02,260103/18,2/1/2026,3/1/2026,3-ม.ค.-26,71000277,สลัดคอส,XXL,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
34,C.034/01,C.260103/02,260103/19,2/1/2026,3/1/2026,3-ม.ค.-26,71000290,กรีนโอ๊ค,XXL,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
35,C.035/01,C.260103/02,260103/20,2/1/2026,3/1/2026,3-ม.ค.-26,71000296,ฟิลเลย์,XXL,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
36,C.036/01,C.260103/03,260103/21,2/1/2026,3/1/2026,3-ม.ค.-26,71003207,ใบกะเพราป่า,ชัยเจริญ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
37,C.037/01,C.260103/03,260103/22,2/1/2026,3/1/2026,3-ม.ค.-26,71001029,โหระพาเด็ดก้าน,ชัยเจริญ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
38,C.038/01,C.260103/03,260103/23,2/1/2026,3/1/2026,3-ม.ค.-26,71000173,ตะไคร้,ชัยเจริญ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
39,C.039/01,C.260103/03,260103/24,2/1/2026,3/1/2026,3-ม.ค.-26,71015022,ใบมะกรูดซอย,ชัยเจริญ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
40,C.040/01,C.260103/03,260103/25,2/1/2026,3/1/2026,3-ม.ค.-26,71000174,ใบมะกรูดฉีกแกนกลางใบ,ชัยเจริญ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
41,C.041/01,C.260103/03,260103/26,2/1/2026,3/1/2026,3-ม.ค.-26,71012017,ผักชีฝรั่ง,ชัยเจริญ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
42,C.042/01,C.260103/03,260103/27,2/1/2026,3/1/2026,3-ม.ค.-26,71017012,มันแกว,ซีพีเฟรซ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
43,C.043/01,C.260103/03,260103/28,2/1/2026,3/1/2026,3-ม.ค.-26,71000037,พริกขี้หนูเขียว,ซีพีเฟรซ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
44,C.044/01,C.260103/03,260103/29,2/1/2026,3/1/2026,3-ม.ค.-26,71000188,พริกขี้หนูสวน,ซีพีเฟรซ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
45,C.045/01,C.260103/03,260103/30,2/1/2026,3/1/2026,3-ม.ค.-26,71008009,พริกชี้ฟ้าแดง,ซีพีเฟรซ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
