No.,Lab No.,เลขที่รับ,Report No.,Received Date,Analysis Date,Report Date,Sample Code,Sample Name,Supplier,"Production Date
 / Lot",หน่วยงาน,Cost Center,"Sample 
Condition",Result,,,,,,หมายเหตุ,,
,,,,,,,,,,,,,,"Organo
phosphate",Carbamate,"Organo
chlorine",Pyrethroid,"Chloram
phenicol",Nitrofuran,,,
306,C.0306/01,C.260119/02,260119/09,18/1/2026,19/1/2026,19-ม.ค.-26,71000032,พริกหวานเขียว,PDS,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
307,C.0307/01,C.260119/02,260119/10,18/1/2026,19/1/2026,19-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
308,C.0308/01,C.260119/02,260119/11,18/1/2026,19/1/2026,19-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,PDS,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
309,C.0309/01,C.260119/02,260119/12,18/1/2026,19/1/2026,19-ม.ค.-26,71000154,พริกหวานเหลือง,PDS,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
310,C.0310/01,C.260119/02,260119/13,18/1/2026,19/1/2026,19-ม.ค.-26,71000042,มะเขือเทศท้อ,ซีพี แอ็กซ์ตร้า,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
311,C.0311/01,C.260119/03,260119/14,19/1/2026,19/1/2026,19-ม.ค.-26,71000405,ใบเตย GAP,มามา,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
312,C.0312/01,C.260119/03,260119/15,19/1/2026,19/1/2026,19-ม.ค.-26,71000330,ผักบุ้งจีนตัดราก,SPK,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
313,C.0313/01,C.260119/03,260119/16,19/1/2026,19/1/2026,19-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260118,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
314,C.0314/01,C.260120/01,260120/01,19/1/2026,20/1/2026,20-ม.ค.-26,71000277,สลัดคอส,ผักพอเพียง,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
315,C.0315/01,C.260120/01,260120/02,19/1/2026,20/1/2026,20-ม.ค.-26,71000290,กรีนโอ๊ค,ผักพอเพียง,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
316,C.0316/01,C.260120/01,260120/03,19/1/2026,20/1/2026,20-ม.ค.-26,71000296,ฟิลเลย์,ผักพอเพียง,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
317,C.0317/01,C.260120/01,260120/04,19/1/2026,20/1/2026,20-ม.ค.-26,71000007,กระเทียม,อโกรไทย,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
318,C.0318/01,C.260120/01,260120/05,19/1/2026,20/1/2026,20-ม.ค.-26,71000401,หอมแดง,อโกรไทย,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
319,C.0319/01,C.260120/01,260120/06,19/1/2026,20/1/2026,20-ม.ค.-26,71000235,กะหล่ำปลีส่งออก,ฟาร์มสำเร็จ,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
320,C.0320/01,C.260120/01,260120/07,19/1/2026,20/1/2026,20-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
321,C.0321/01,C.260120/01,260120/08,19/1/2026,20/1/2026,20-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,PDS,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
322,C.0322/01,C.260120/01,260120/09,19/1/2026,20/1/2026,20-ม.ค.-26,71000414,เซอเลอรี่,SPK,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
323,C.0323/01,C.260120/02,260120/10,20/1/2026,20/1/2026,20-ม.ค.-26,71000405,ใบเตย GAP,มามา,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
324,C.0324/01,C.260120/02,260120/11,20/1/2026,20/1/2026,20-ม.ค.-26,71000277,สลัดคอส,พรีมากรีน,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
325,C.0325/01,C.260120/02,260120/12,20/1/2026,20/1/2026,20-ม.ค.-26,71000411,ถั่วฝักยาวหั่น,ฟาร์มสำเร็จ,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
326,C.0326/01,C.260120/02,260120/13,20/1/2026,20/1/2026,20-ม.ค.-26,71004008,ต้นหอม,ทวีทรัพย์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
327,C.0327/01,C.260120/02,260120/14,20/1/2026,20/1/2026,20-ม.ค.-26,71001015,รากผักชี,ทวีทรัพย์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
328,C.0328/01,C.260120/02,260120/15,20/1/2026,20/1/2026,20-ม.ค.-26,71010015,ใบผักชี,ทวีทรัพย์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
329,C.0329/01,C.260120/02,260120/16,20/1/2026,20/1/2026,20-ม.ค.-26,71000010,พริกขี้หนูแดง,ทวีทรัพย์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
330,C.0330/01,C.260120/02,260120/17,20/1/2026,20/1/2026,20-ม.ค.-26,71008009,พริกชี้ฟ้าแดง,ทวีทรัพย์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
331,C.0331/01,C.260120/02,260120/18,20/1/2026,20/1/2026,20-ม.ค.-26,71000063,เห็ดหูหนู,ทวีทรัพย์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
332,C.0332/01,C.260120/02,260120/19,20/1/2026,20/1/2026,20-ม.ค.-26,71000414,เซอเลอรี่,SN เฟรช,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
333,C.0333/01,C.260120/02,260120/20,20/1/2026,20/1/2026,20-ม.ค.-26,71000277,สลัดคอส,เนาวรัตน์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
334,C.0334/01,C.260121/01,260121/01,20/1/2026,21/1/2026,21-ม.ค.-26,71000290,กรีนโอ๊ค,เนาวรัตน์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
335,C.0335/01,C.260121/01,260121/02,20/1/2026,21/1/2026,21-ม.ค.-26,71000296,ฟิลเลย์,เนาวรัตน์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
336,C.0336/01,C.260121/01,260121/03,20/1/2026,21/1/2026,21-ม.ค.-26,71000021,มะนาว,โกลด์สตาร์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
337,C.0337/01,C.260121/01,260121/04,20/1/2026,21/1/2026,21-ม.ค.-26,71000051,ข่าแก่,โกลด์สตาร์,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
338,C.0338/01,C.260121/01,260121/05,20/1/2026,21/1/2026,21-ม.ค.-26,71000002,เผือกหอม,นิภาพร,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
339,C.0339/01,C.260121/01,260121/06,20/1/2026,21/1/2026,21-ม.ค.-26,71017012,มันแกว,นิภาพร,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
340,C.0340/01,C.260121/01,260121/07,20/1/2026,21/1/2026,21-ม.ค.-26,71004008,ต้นหอม,นิภาพร,ร.260119,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
341,C.0341/01,C.260121/02,260121/08,20/1/2026,21/1/2026,21-ม.ค.-26,71000297,มะเขือเทศราชินี,วิสาหกิจ ,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
342,C.0342/01,C.260121/02,260121/09,20/1/2026,21/1/2026,21-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
343,C.0343/01,C.260121/02,260121/10,20/1/2026,21/1/2026,21-ม.ค.-26,71000042,มะเขือเทศท้อ,ซีพี แอ็กซ์ตร้า,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
344,C.0344/01,C.260121/02,260121/11,20/1/2026,21/1/2026,21-ม.ค.-26,71004036,กระเทียมกลีบใหญ่ ,ซีพี แอ็กซ์ตร้า,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
345,C.0345/01,C.260121/02,260121/12,20/1/2026,21/1/2026,21-ม.ค.-26,71011005,หอมใหญ่,ซีพี แอ็กซ์ตร้า,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
346,C.0346/01,C.260123/01,260123/01,20/1/2026,23/1/2026,23-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
347,C.0347/01,C.260123/01,260123/02,20/1/2026,23/1/2026,23-ม.ค.-26,71017012,มันแกว,ฟาร์มสำเร็จ,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
348,C.0348/01,C.260123/01,260123/03,20/1/2026,23/1/2026,23-ม.ค.-26,71000003,กะหล่ำปลี,ฟาร์มสำเร็จ,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
349,C.0349/01,C.260123/01,260123/04,20/1/2026,23/1/2026,23-ม.ค.-26,71000063,เห็ดหูหนู,ฟาร์มสำเร็จ,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
350,C.0350/01,C.260123/01,260123/05,20/1/2026,23/1/2026,23-ม.ค.-26,71000060,ถั่วฝักยาว,ฟาร์มสำเร็จ,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
351,C.0351/01,C.260123/01,260123/06,20/1/2026,23/1/2026,23-ม.ค.-26,71011005,หอมใหญ่,ฟาร์มสำเร็จ,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
352,C.0352/01,C.260123/01,260123/07,20/1/2026,23/1/2026,23-ม.ค.-26,71001029,โหระพาเด็ดก้าน,CP เฟรซ,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
353,C.0353/01,C.260123/01,260123/08,20/1/2026,23/1/2026,23-ม.ค.-26,71000148,ต้นกุยช่าย,นิภาพร,ร.260120,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
354,C.0354/01,C.260123/02,260123/09,21/1/2026,23/1/2026,23-ม.ค.-26,71000021,มะนาว,คิงส์วิช,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
355,C.0355/01,C.260123/02,260123/10,21/1/2026,23/1/2026,23-ม.ค.-26,71000042,มะเขือเทศท้อ,คิงส์วิช,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
356,C.0356/01,C.260123/02,260123/11,21/1/2026,23/1/2026,23-ม.ค.-26,71000277,สลัดคอส,XXL,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
357,C.0357/01,C.260123/02,260123/12,21/1/2026,23/1/2026,23-ม.ค.-26,71000290,กรีนโอ๊ค,XXL,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
358,C.0358/01,C.260123/02,260123/13,21/1/2026,23/1/2026,23-ม.ค.-26,71000296,ฟิลเลย์,XXL,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
359,C.0359/01,C.260123/02,260123/14,21/1/2026,23/1/2026,23-ม.ค.-26,71011005,หอมใหญ่,PDS,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
360,C.0360/01,C.260123/02,260123/15,21/1/2026,23/1/2026,23-ม.ค.-26,71000050,แครอทภายใน,PDS,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
361,C.0361/01,C.260123/02,260123/16,21/1/2026,23/1/2026,23-ม.ค.-26,71000010,พริกขี้หนูแดง,PDS,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
362,C.0362/01,C.260123/02,260123/17,21/1/2026,23/1/2026,23-ม.ค.-26,71008009,พริกชี้ฟ้าแดง,PDS,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
363,C.0363/01,C.260123/02,260123/18,21/1/2026,23/1/2026,23-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
364,C.0364/01,C.260123/03,260123/19,21/1/2026,23/1/2026,23-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
365,C.0365/01,C.260123/03,260123/20,21/1/2026,23/1/2026,23-ม.ค.-26,71000164,เห็ดเข็มทอง,โปรเห็ด,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
366,C.0366/01,C.260123/03,260123/21,21/1/2026,23/1/2026,23-ม.ค.-26,71000030,มะเขือเปราะ,ชัยเจริญ,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
367,C.0367/01,C.260123/03,260123/22,21/1/2026,23/1/2026,23-ม.ค.-26,71001029,โหระพาเด็ดก้าน,ชัยเจริญ,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
368,C.0368/01,C.260123/03,260123/23,21/1/2026,23/1/2026,23-ม.ค.-26,71000414,เซอเลอรี่,SN เฟรช,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
369,C.0369/01,C.260123/03,260123/24,21/1/2026,23/1/2026,23-ม.ค.-26,71000300,ขมิ้น,โกลด์สตาร์,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
370,C.0370/01,C.260123/03,260123/25,21/1/2026,23/1/2026,23-ม.ค.-26,71001029,โหระพาเด็ดก้าน,นิภาพร,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
371,C.0371/01,C.260123/03,260123/26,21/1/2026,23/1/2026,23-ม.ค.-26,71000418,ใบกุ๋ยช่าย,นิภาพร,ร.260121,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
372,C.0372/01,C.260123/04,260123/27,22/1/2026,23/1/2026,23-ม.ค.-26,71000007,กระเทียม,นพดา,ร.260122,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
373,C.0373/01,C.260123/04,260123/28,22/1/2026,23/1/2026,23-ม.ค.-26,71000186,ชะอม,สองมือพัฒนา,ร.260122,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
374,C.0374/01,C.260123/04,260123/29,22/1/2026,23/1/2026,23-ม.ค.-26,71000414,เซอเลอรี่,SPK,ร.260122,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
375,C.0375/01,C.260123/04,260123/30,22/1/2026,23/1/2026,23-ม.ค.-26,71000247,พริกชี้ฟ้าแดง,PDS,ร.260122,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
376,C.0376/01,C.260123/04,260123/31,22/1/2026,23/1/2026,23-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260122,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
377,C.0377/01,C.260123/04,260123/32,22/1/2026,23/1/2026,23-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,PDS,ร.260122,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
378,C.0378/01,C.260124/01,260124/01,23/1/2026,24/1/2026,24-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
379,C.0379/01,C.260124/01,260124/02,23/1/2026,24/1/2026,24-ม.ค.-26,71000060,ถั่วฝักยาว,มามา,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
380,C.0380/01,C.260124/01,260124/03,23/1/2026,24/1/2026,24-ม.ค.-26,71000330,ผักบุ้งจีนตัดราก,SPK,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
381,C.0381/01,C.260124/01,260124/04,23/1/2026,24/1/2026,24-ม.ค.-26,71000414,เซอเลอรี่,SN เฟรช,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
382,C.0382/01,C.260124/01,260124/05,23/1/2026,24/1/2026,24-ม.ค.-26,71000030,มะเขือเปราะ,โกลด์สตาร์,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
383,C.0383/01,C.260124/01,260124/06,23/1/2026,24/1/2026,24-ม.ค.-26,71004008,ต้นหอม,โกลด์สตาร์,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
384,C.0384/01,C.260124/01,260124/07,23/1/2026,24/1/2026,24-ม.ค.-26,71000277,สลัดคอส,สวนให้ความรัก,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
385,C.0385/01,C.260124/01,260124/08,23/1/2026,24/1/2026,24-ม.ค.-26,71000290,กรีนโอ๊ค,สวนให้ความรัก,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
386,C.0386/01,C.260124/01,260124/09,23/1/2026,24/1/2026,24-ม.ค.-26,71000296,ฟิลเลย์,สวนให้ความรัก,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
387,C.0387/01,C.260124/02,260124/10,23/1/2026,24/1/2026,24-ม.ค.-26,71017012,มันแกว,DK กรีนลีฟ,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
388,C.0388/01,C.260124/02,260124/11,23/1/2026,24/1/2026,24-ม.ค.-26,71000030,มะเขือเปราะ,ชัยเจริญ,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
389,C.0389/01,C.260124/03,260124/12,23/1/2026,24/1/2026,24-ม.ค.-26,71000010,พริกขี้หนูแดง,CP เฟรซ,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
390,C.0390/01,C.260124/03,260124/13,23/1/2026,24/1/2026,24-ม.ค.-26,71008009,พริกชี้ฟ้าแดง,CP เฟรซ,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
391,C.0391/01,C.260124/03,260124/14,23/1/2026,24/1/2026,24-ม.ค.-26,71017012,มันแกว,CP เฟรซ,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
392,C.0392/01,C.260124/03,260124/15,23/1/2026,24/1/2026,24-ม.ค.-26,71000030,มะเขือเปราะ,ชัยเจริญ,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
393,C.0393/01,C.260124/03,260124/16,23/1/2026,24/1/2026,24-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260123,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
394,C.0394/01,C.260126/01,260126/01,24/1/2026,26/1/2026,26-ม.ค.-26,71000276,ผักกาดแก้ว,ฟาร์มเฟรช,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
395,C.0395/01,C.260126/01,260126/02,24/1/2026,26/1/2026,26-ม.ค.-26,71000290,กรีนโอ๊ค,ฟาร์มเฟรช,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
396,C.0396/01,C.260126/01,260126/03,24/1/2026,26/1/2026,26-ม.ค.-26,71000277,สลัดคอส,ฟาร์มเฟรช,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
397,C.0397/01,C.260126/01,260126/04,24/1/2026,26/1/2026,26-ม.ค.-26,71000374,เรดแรดิช,ฟาร์มเฟรช,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
398,C.0398/01,C.260126/01,260126/05,24/1/2026,26/1/2026,26-ม.ค.-26,71000042,มะเขือเทศท้อ,PDS,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
399,C.0399/01,C.260126/01,260126/06,24/1/2026,26/1/2026,26-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
400,C.0400/01,C.260126/01,260126/07,24/1/2026,26/1/2026,26-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,PDS,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
401,C.0401/01,C.260126/02,260126/08,24/1/2026,26/1/2026,26-ม.ค.-26,71000037,พริกขี้หนูเขียว,CP เฟรซ,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
402,C.0402/01,C.260126/02,260126/09,24/1/2026,26/1/2026,26-ม.ค.-26,71000038,พริกชี้ฟ้าเขียวสด,CP เฟรซ,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
403,C.0403/01,C.260126/02,260126/10,24/1/2026,26/1/2026,26-ม.ค.-26,71000276,ผักกาดแก้ว,ผักพอเพียง,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
404,C.0404/01,C.260126/02,260126/11,24/1/2026,26/1/2026,26-ม.ค.-26,71000411,ถั่วฝักยาวหั่น,ฟาร์มสำเร็จ,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
405,C.0405/01,C.260126/02,260126/12,24/1/2026,26/1/2026,26-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
406,C.0406/01,C.260126/02,260126/13,24/1/2026,26/1/2026,26-ม.ค.-26,71000414,เซอเลอรี่,SN เฟรช,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
407,C.0407/01,C.260126/02,260126/14,24/1/2026,26/1/2026,26-ม.ค.-26,71000277,สลัดคอส,ฟาร์มรัศมี,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
408,C.0408/01,C.260126/02,260126/15,24/1/2026,26/1/2026,26-ม.ค.-26,71000290,กรีนโอ๊ค,ฟาร์มรัศมี,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
409,C.0409/01,C.260126/02,260126/16,24/1/2026,26/1/2026,26-ม.ค.-26,71000296,ฟิลเลย์,ฟาร์มรัศมี,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
410,C.0410/01,C.260126/02,260126/17,24/1/2026,26/1/2026,26-ม.ค.-26,71000277,สลัดคอส,วิสาหกิจชุมชนอินโน,ร.260124,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
411,C.0411/01,C.260126/03,260126/18,25/1/2026,26/1/2026,26-ม.ค.-26,71000164,เห็ดเข็มทอง,โปรเห็ด,ร.260125,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
412,C.0412/01,C.260126/03,260126/19,25/1/2026,26/1/2026,26-ม.ค.-26,71011005,หอมใหญ่,PDS,ร.260125,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
413,C.0413/01,C.260126/03,260126/20,25/1/2026,26/1/2026,26-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,PDS,ร.260125,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
414,C.0414/01,C.260126/03,260126/21,25/1/2026,26/1/2026,26-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260125,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
415,C.0415/01,C.260126/03,260126/22,25/1/2026,26/1/2026,26-ม.ค.-26,71000274,แครอทไม่ปอกเปลือก,PDS,ร.260125,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
416,C.0416/01,C.260126/04,260126/23,26/1/2026,26/1/2026,26-ม.ค.-26,71000414,เซอเลอรี่,SPK,ร.260125,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
